Date,Time From Epoch(S),Distance(CM),Deltatime(S)
Wed Jan  6 11:33:28 2021,1609961608.6263268,89.105,0.00519561767578125
Wed Jan  6 11:33:29 2021,1609961609.700608,1205.07,0.0702664852142334
Wed Jan  6 11:33:30 2021,1609961610.7748857,1204.919,0.07025766372680664
Wed Jan  6 11:33:31 2021,1609961611.8490946,1204.768,0.07024884223937988
Wed Jan  6 11:33:32 2021,1609961612.9234452,1204.903,0.07025671005249023
Wed Jan  6 11:33:33 2021,1609961613.9977298,1204.988,0.07026171684265137
Wed Jan  6 11:33:35 2021,1609961615.0720136,1204.772,0.07024908065795898
Wed Jan  6 11:33:36 2021,1609961616.1461613,1204.956,0.07025980949401855
Wed Jan  6 11:33:37 2021,1609961617.2205186,1205.062,0.0702660083770752
Wed Jan  6 11:33:38 2021,1609961618.2948065,1204.89,0.07025599479675293
Wed Jan  6 11:33:39 2021,1609961619.3690128,1204.907,0.07025694847106934
Wed Jan  6 11:33:40 2021,1609961620.4431107,1204.943,0.07025909423828125
Wed Jan  6 11:33:41 2021,1609961621.5171058,1204.559,0.0702366828918457
Wed Jan  6 11:33:42 2021,1609961622.591397,1205.111,0.07026886940002441
Wed Jan  6 11:33:43 2021,1609961623.6655786,1204.792,0.07025027275085449
Wed Jan  6 11:33:44 2021,1609961624.7395594,1204.829,0.0702524185180664
Wed Jan  6 11:33:45 2021,1609961625.8135803,1204.964,0.07026028633117676
Wed Jan  6 11:33:46 2021,1609961626.8878777,1204.829,0.0702524185180664
Wed Jan  6 11:33:47 2021,1609961627.962197,1205.029,0.07026410102844238
Wed Jan  6 11:33:49 2021,1609961629.0365176,1205.087,0.0702674388885498
Wed Jan  6 11:33:50 2021,1609961630.110787,1204.886,0.07025575637817383
Wed Jan  6 11:33:51 2021,1609961631.1848044,1204.858,0.07025408744812012
Wed Jan  6 11:33:52 2021,1609961632.2589304,1204.882,0.07025551795959473
Wed Jan  6 11:33:53 2021,1609961633.333015,1204.854,0.07025384902954102
Wed Jan  6 11:33:54 2021,1609961634.4070623,1204.907,0.07025694847106934
Wed Jan  6 11:33:55 2021,1609961635.4813945,1204.882,0.07025551795959473
Wed Jan  6 11:33:56 2021,1609961636.5555794,1205.001,0.07026243209838867
Wed Jan  6 11:33:57 2021,1609961637.6297581,1204.911,0.07025718688964844
Wed Jan  6 11:33:58 2021,1609961638.7040505,1205.144,0.07027077674865723
Wed Jan  6 11:33:59 2021,1609961639.7783258,1204.931,0.07025837898254395
Wed Jan  6 11:34:00 2021,1609961640.8524604,1204.89,0.07025599479675293
Wed Jan  6 11:34:01 2021,1609961641.8614836,90.004,0.005248069763183594
Wed Jan  6 11:34:02 2021,1609961642.9358106,1204.898,0.07025647163391113
Wed Jan  6 11:34:04 2021,1609961644.0101056,1204.845,0.07025337219238281
Wed Jan  6 11:34:05 2021,1609961645.0843847,1204.911,0.07025718688964844
Wed Jan  6 11:34:06 2021,1609961646.1586084,1204.796,0.0702505111694336
Wed Jan  6 11:34:07 2021,1609961647.2326896,1204.837,0.07025289535522461
Wed Jan  6 11:34:08 2021,1609961648.306726,1204.24,0.07021808624267578
Wed Jan  6 11:34:09 2021,1609961649.381026,1204.837,0.07025289535522461
Wed Jan  6 11:34:10 2021,1609961650.455197,1204.915,0.07025742530822754
Wed Jan  6 11:34:11 2021,1609961651.4643054,89.968,0.00524592399597168
Wed Jan  6 11:34:12 2021,1609961652.5386162,1204.747,0.07024765014648438
Wed Jan  6 11:34:13 2021,1609961653.612632,1204.629,0.07024073600769043
Wed Jan  6 11:34:14 2021,1609961654.686929,1204.927,0.07025814056396484
Wed Jan  6 11:34:15 2021,1609961655.7705493,1204.89,0.07025599479675293
Wed Jan  6 11:34:16 2021,1609961656.7796204,89.072,0.0051937103271484375
Wed Jan  6 11:34:17 2021,1609961657.853888,1204.764,0.07024860382080078
Wed Jan  6 11:34:18 2021,1609961658.9279854,1204.8,0.0702507495880127
Wed Jan  6 11:34:20 2021,1609961660.002143,1204.69,0.07024431228637695
Wed Jan  6 11:34:21 2021,1609961661.076431,1204.702,0.07024502754211426
Wed Jan  6 11:34:22 2021,1609961662.1506171,1204.804,0.0702509880065918
Wed Jan  6 11:34:23 2021,1609961663.2248745,1204.759,0.07024836540222168
Wed Jan  6 11:34:24 2021,1609961664.2991314,1204.968,0.07026052474975586
Wed Jan  6 11:34:25 2021,1609961665.3082402,87.698,0.0051136016845703125
Wed Jan  6 11:34:26 2021,1609961666.3825002,1204.96,0.07026004791259766
Wed Jan  6 11:34:27 2021,1609961667.4566677,1204.751,0.07024788856506348
Wed Jan  6 11:34:28 2021,1609961668.5307684,1204.854,0.07025384902954102
Wed Jan  6 11:34:29 2021,1609961669.5401542,92.486,0.005392789840698242
Wed Jan  6 11:34:30 2021,1609961670.6143985,1204.878,0.07025527954101562
Wed Jan  6 11:34:31 2021,1609961671.6886396,1204.494,0.07023286819458008
Wed Jan  6 11:34:32 2021,1609961672.7627287,1204.8,0.0702507495880127
Wed Jan  6 11:34:33 2021,1609961673.837028,1204.829,0.0702524185180664
Wed Jan  6 11:34:34 2021,1609961674.846259,89.023,0.005190849304199219
Wed Jan  6 11:34:35 2021,1609961675.9205353,1204.792,0.07025027275085449
Wed Jan  6 11:34:36 2021,1609961676.9947793,1204.62,0.07024025917053223
Wed Jan  6 11:34:38 2021,1609961678.0038803,88.663,0.005169868469238281
Wed Jan  6 11:34:39 2021,1609961679.0130594,88.561,0.005163908004760742
Wed Jan  6 11:34:40 2021,1609961680.0873668,1204.735,0.07024693489074707
Wed Jan  6 11:34:41 2021,1609961681.1615956,1204.755,0.07024812698364258
Wed Jan  6 11:34:42 2021,1609961682.2356384,1204.522,0.07023453712463379
Wed Jan  6 11:34:43 2021,1609961683.3096023,1204.633,0.07024097442626953
Wed Jan  6 11:34:44 2021,1609961684.318703,88.173,0.005141258239746094
Wed Jan  6 11:34:45 2021,1609961685.3929687,1204.657,0.07024240493774414
Wed Jan  6 11:34:46 2021,1609961686.4670627,1203.827,0.07019400596618652
Wed Jan  6 11:34:47 2021,1609961687.5411022,1204.702,0.07024502754211426
Wed Jan  6 11:34:48 2021,1609961688.6150656,1204.514,0.07023406028747559
Wed Jan  6 11:34:49 2021,1609961689.6893244,1204.727,0.07024645805358887
Wed Jan  6 11:34:50 2021,1609961690.7634542,1204.502,0.07023334503173828
Wed Jan  6 11:34:51 2021,1609961691.837588,1204.71,0.07024550437927246
Wed Jan  6 11:34:52 2021,1609961692.9118235,1204.457,0.07023072242736816
Wed Jan  6 11:34:53 2021,1609961693.9860609,1204.432,0.07022929191589355
Wed Jan  6 11:34:55 2021,1609961695.060315,1204.784,0.07024979591369629
Wed Jan  6 11:34:56 2021,1609961696.1345305,1204.665,0.07024288177490234
Wed Jan  6 11:34:57 2021,1609961697.2089827,1204.518,0.07023429870605469
Wed Jan  6 11:34:58 2021,1609961698.2832162,1204.682,0.07024383544921875
Wed Jan  6 11:34:59 2021,1609961699.3573346,1204.6,0.07023906707763672
Wed Jan  6 11:35:00 2021,1609961700.4314134,1204.616,0.07024002075195312
Wed Jan  6 11:35:01 2021,1609961701.5056689,1204.698,0.07024478912353516
Wed Jan  6 11:35:02 2021,1609961702.5798593,1204.543,0.0702357292175293
Wed Jan  6 11:35:03 2021,1609961703.6539838,1204.633,0.07024097442626953
Wed Jan  6 11:35:04 2021,1609961704.6633227,91.55,0.005338191986083984
Wed Jan  6 11:35:05 2021,1609961705.7375581,1204.698,0.07024478912353516
Wed Jan  6 11:35:06 2021,1609961706.811807,1204.453,0.07023048400878906
Wed Jan  6 11:35:07 2021,1609961707.8860254,1204.547,0.0702359676361084
Wed Jan  6 11:35:08 2021,1609961708.9601924,1204.6,0.07023906707763672
Wed Jan  6 11:35:10 2021,1609961710.0343187,1204.543,0.0702357292175293
Wed Jan  6 11:35:11 2021,1609961711.1088014,1204.67,0.07024312019348145
Wed Jan  6 11:35:12 2021,1609961712.1830108,1204.653,0.07024216651916504
Wed Jan  6 11:35:13 2021,1609961713.257116,1204.649,0.07024192810058594
Wed Jan  6 11:35:14 2021,1609961714.3311372,1204.424,0.07022881507873535
Wed Jan  6 11:35:15 2021,1609961715.4051034,1204.641,0.07024145126342773
Wed Jan  6 11:35:16 2021,1609961716.4790688,1204.6,0.07023906707763672
Wed Jan  6 11:35:17 2021,1609961717.5531921,1204.526,0.07023477554321289
Wed Jan  6 11:35:18 2021,1609961718.5623128,90.716,0.005289554595947266
Wed Jan  6 11:35:19 2021,1609961719.636576,1204.555,0.0702364444732666
Wed Jan  6 11:35:20 2021,1609961720.7108119,1204.678,0.07024359703063965
