Date,Time From Epoch(S),Distance(CM),Deltatime(S)
Wed Jan  6 11:50:26 2021,1609962626.2503395,1204.212,0.07021641731262207
Wed Jan  6 11:50:27 2021,1609962627.3248086,1204.105,0.07021021842956543
Wed Jan  6 11:50:28 2021,1609962628.398884,1204.285,0.0702207088470459
Wed Jan  6 11:50:29 2021,1609962629.4751275,1204.162,0.07021355628967285
Wed Jan  6 11:50:30 2021,1609962630.509151,509.953,0.02973484992980957
Wed Jan  6 11:50:31 2021,1609962631.5341578,355.25,0.020714282989501953
Wed Jan  6 11:50:32 2021,1609962632.5526733,241.064,0.014056205749511719
Wed Jan  6 11:50:33 2021,1609962633.6272578,1204.293,0.0702211856842041
Wed Jan  6 11:50:34 2021,1609962634.7015758,1204.31,0.07022213935852051
Wed Jan  6 11:50:35 2021,1609962635.7756708,1203.5,0.0701749324798584
Wed Jan  6 11:50:36 2021,1609962636.8500922,1204.334,0.07022356986999512
Wed Jan  6 11:50:37 2021,1609962637.92454,1203.606,0.07018113136291504
Wed Jan  6 11:50:38 2021,1609962638.9989483,1204.22,0.07021689414978027
Wed Jan  6 11:50:40 2021,1609962640.073014,1204.383,0.07022643089294434
Wed Jan  6 11:50:41 2021,1609962641.1471174,1204.322,0.07022285461425781
Wed Jan  6 11:50:42 2021,1609962642.2213817,1203.835,0.07019448280334473
Wed Jan  6 11:50:43 2021,1609962643.295641,1204.477,0.07023191452026367
Wed Jan  6 11:50:44 2021,1609962644.369448,1204.567,0.0702371597290039
Wed Jan  6 11:50:45 2021,1609962645.443713,1204.571,0.07023739814758301
Wed Jan  6 11:50:46 2021,1609962646.4672294,335.325,0.01955246925354004
Wed Jan  6 11:50:47 2021,1609962647.5417635,1204.629,0.07024073600769043
Wed Jan  6 11:50:48 2021,1609962648.6159286,1204.657,0.07024240493774414
Wed Jan  6 11:50:49 2021,1609962649.6897976,1204.547,0.0702359676361084
Wed Jan  6 11:50:50 2021,1609962650.7545156,1046.025,0.06099271774291992
Wed Jan  6 11:50:51 2021,1609962651.8289893,1204.62,0.07024025917053223
Wed Jan  6 11:50:52 2021,1609962652.903355,1204.567,0.0702371597290039
Wed Jan  6 11:50:53 2021,1609962653.9178078,172.837,0.010077953338623047
Wed Jan  6 11:50:54 2021,1609962654.9872508,1116.628,0.0651094913482666
Wed Jan  6 11:50:56 2021,1609962656.0617237,1204.768,0.07024884223937988
Wed Jan  6 11:50:57 2021,1609962657.1357875,1204.849,0.07025361061096191
Wed Jan  6 11:50:58 2021,1609962658.2100372,1204.755,0.07024812698364258
Wed Jan  6 11:50:59 2021,1609962659.284317,1204.866,0.07025456428527832
Wed Jan  6 11:51:00 2021,1609962660.3590446,1204.849,0.07025361061096191
Wed Jan  6 11:51:01 2021,1609962661.433626,1204.776,0.07024931907653809
Wed Jan  6 11:51:02 2021,1609962662.508082,1204.931,0.07025837898254395
Wed Jan  6 11:51:03 2021,1609962663.5824072,1205.013,0.07026314735412598
Wed Jan  6 11:51:04 2021,1609962664.6570742,1204.792,0.07025027275085449
Wed Jan  6 11:51:05 2021,1609962665.697896,624.024,0.03638625144958496
Wed Jan  6 11:51:06 2021,1609962666.7731266,1204.796,0.0702505111694336
Wed Jan  6 11:51:07 2021,1609962667.8478925,1204.923,0.07025790214538574
Wed Jan  6 11:51:08 2021,1609962668.922564,1205.017,0.07026338577270508
Wed Jan  6 11:51:09 2021,1609962669.9970584,1204.841,0.07025313377380371
Wed Jan  6 11:51:11 2021,1609962671.0718052,1204.931,0.07025837898254395
Wed Jan  6 11:51:12 2021,1609962672.1461563,1205.001,0.07026243209838867
Wed Jan  6 11:51:13 2021,1609962673.220438,1205.033,0.07026433944702148
Wed Jan  6 11:51:14 2021,1609962674.2945287,1204.596,0.07023882865905762
Wed Jan  6 11:51:15 2021,1609962675.3690536,1205.23,0.07027578353881836
Wed Jan  6 11:51:16 2021,1609962676.4433367,1205.066,0.0702662467956543
Wed Jan  6 11:51:17 2021,1609962677.5172362,1204.997,0.07026219367980957
